geonameid,name,latitude,longitude,feature_code,country_code,population
5934709,Dalmeny,52.34077,-106.7712,PPL,CA,1504
5935042,Danville,45.78337,-72.0158,PPL,CA,1761
5935277,Dartmouth,44.67134,-63.57719,PPL,CA,101343
5935303,Dashwood,49.36633,-124.51947,PPL,CA,982
5935341,Dauphin,51.14941,-100.05023,PPL,CA,8457
5935388,Daveluyville,46.20006,-72.13239,PPL,CA,1318
5935486,Davidson,51.26676,-105.98449,PPL,CA,967
5935804,Dawson Creek,55.75984,-120.2403,PPL,CA,12323
5936339,Debert,45.43345,-63.46539,PPL,CA,1422
5936956,Deep Cove,49.33333,-122.95,PPLX,CA,2251
5936957,Deep Cove,48.68333,-123.46667,PPL,CA,1177
5937073,Deep River,46.10012,-77.49949,PPL,CA,4296
5937252,Deer Lake,49.16671,-57.43163,PPL,CA,4602
5937354,Deer Ridge,50.92641,-114.01423,PPLX,CA,3795
5937361,Deer Run,50.91754,-114.00976,PPLX,CA,4910
5937497,Delaware,42.91679,-81.41646,PPLL,CA,2521
5937503,Delbrook,49.34554,-123.08327,PPLX,CA,2497
5937522,Delhi,42.8501,-80.49968,PPL,CA,5344
5937577,Deloraine,49.19082,-100.49477,PPL,CA,1068
5937612,Delson,45.36678,-73.54917,PPL,CA,7322
5937615,Delta,49.14399,-122.9068,PPL,CA,101668
5937819,Denman Island,49.53294,-124.8195,PPL,CA,1020
5937950,Departure Bay,49.20207,-123.97618,PPLX,CA,6540
5938187,Deseronto,44.20012,-77.04944,PPL,CA,1897
5938513,Deux-Montagnes,45.53455,-73.90168,PPL,CA,17402
5938801,Devon,53.36683,-113.73533,PPL,CA,6545
5938855,Dewdney,49.16667,-122.2,PPL,CA,570
5938974,Diamond Cove,50.94756,-114.0241,PPLX,CA,625
5939210,Didsbury,51.66681,-114.13529,PPL,CA,4134
5939219,Dieppe,46.07844,-64.68735,PPL,CA,27304
5939236,Digby,44.62188,-65.7586,PPL,CA,2001
5939341,Dildo,47.56659,-53.5481,PPL,CA,800
5939449,Dingwall,46.90014,-60.46516,PPL,CA,600
5939629,Discovery Ridge,51.01591,-114.21284,PPLX,CA,4330
5939663,Disraeli,45.90007,-71.34907,PPL,CA,2212
5940934,Dolbeau-Mistassini,48.8786,-72.23142,PPL,CA,12916
5940956,Dollard-Des Ormeaux,45.49452,-73.82419,PPL,CA,48930
5940972,Dollarton,49.31667,-122.95,PPLX,CA,2692
5941761,Dorchester,42.98339,-81.06643,PPL,CA,9329
5941905,Dorset Park,43.75386,-79.28215,PPLX,CA,25003
5941925,Dorval,45.4473,-73.75335,PPL,CA,18980
5942105,Douglas,49.00278,-122.73555,PPLX,CA,3896
5942126,Douglasdale,50.93889,-113.99306,PPLX,CA,12920
5942238,Dover,51.01991,-113.99294,PPLX,CA,10795
5942290,Dowling,46.59111,-81.33917,PPL,CA,1466
5942547,Drayton Valley,53.21682,-114.98544,PPL,CA,6099
5942798,Drumheller,51.46171,-112.71011,PPL,CA,8430
5942845,Drummondville,45.88336,-72.48241,PPL,CA,59489
5942913,Dryden,49.78334,-92.75032,PPL,CA,8195
5943544,Dufferin,50.66667,-120.38333,PPLX,CA,2783
5943865,Duncan,48.78293,-123.70266,PPL,CA,22199
5943973,Dundarave,49.3362,-123.18764,PPLX,CA,5350
5944071,Dunham,45.13338,-72.79913,PPL,CA,3471
5944222,Dunnville,42.90011,-79.61631,PPL,CA,5907
5944673,Eagle Bay,50.93311,-119.21908,PPL,CA,557
5944866,Eagle Ridge,49.28778,-122.82167,PPLX,CA,11004
5944935,Ear Falls,50.63955,-93.23526,PPL,CA,995
5945016,East Angus,45.48338,-71.66577,PPL,CA,3634
5945539,Eastern Kings,46.4334,-62.09861,PPL,CA,687
5945566,Eastern Passage,44.61685,-63.48199,PPL,CA,5643
5945707,East Gwillimbury,44.10087,-79.43785,PPL,CA,23991
5946011,East Preston,44.72238,-63.41816,PPL,CA,869
5946133,East Sooke,48.36639,-123.68361,PPL,CA,1500
5946209,East Wellington,49.17385,-124.01745,PPL,CA,1444
5946276,Eau Claire,51.05062,-114.08006,PPLX,CA,1875
5946480,Eckville,52.36274,-114.37011,PPL,CA,1014
5946656,Edgemont,51.12561,-114.14881,PPLX,CA,15225
5946768,Edmonton,53.55014,-113.46871,PPLA,CA,1010899
5946820,Edson,53.58345,-116.43559,PPL,CA,7975
5946961,Eel Ground,46.96537,-65.62883,PPL,CA,1094
5947035,Eganville,45.53341,-77.09945,PPL,CA,1149
5947398,Elbow Park,51.0205,-114.08426,PPLX,CA,3285
5947415,Elboya,51.0096,-114.07465,PPLX,CA,1835
5947708,Elkford,50.01529,-114.92348,PPL,CA,2585
5947754,Elk Point,53.90017,-110.9017,PPL,CA,1514
