geonameid,name,latitude,longitude,feature_class,feature_code,country_code,population
2807916,Winklarn,49.42688,12.47986,P,PPL,DE,1473
2807956,Winkelsett,52.86667,8.53333,P,PPLA4,DE,664
2807991,Winkelhaid,49.38963,11.29888,P,PPLA4,DE,3971
2808007,Winkelbach,50.64972,7.73306,P,PPLA4,DE,230
2808043,Winhöring,48.26667,12.65,P,PPLA4,DE,4917
2808048,Wingst,53.73572,9.08054,P,PPLL,DE,3610
2808067,Wingerode,51.39032,10.23954,P,PPLA4,DE,1243
2808101,Windsbach,49.24786,10.82651,P,PPL,DE,6235
2808143,Windischleuba,51.01556,12.46914,P,PPLA4,DE,2254
2808148,Windischeschenbach,49.80108,12.1571,P,PPL,DE,5659
2808189,Windhausen,51.78544,10.21218,P,PPL,DE,1113
2808204,Windhagen,50.64121,7.35352,P,PPLA4,DE,4433
2808219,Windesheim,49.9,7.81667,P,PPLA4,DE,1951
2808239,Winden,50.33333,7.83333,P,PPLA4,DE,742
2808241,Winden,49.09778,8.11694,P,PPLA4,DE,1054
2808251,Windelsbach,49.4,10.3,P,PPLA4,DE,1037
2808253,Windehausen,51.46577,10.87303,P,PPL,DE,568
2808263,Windeby,54.45971,9.78474,P,PPLA4,DE,1103
2808275,Windbergen,54.04638,9.11882,P,PPLA4,DE,839
2808279,Windberg,48.94285,12.7462,P,PPLA4,DE,1059
2808306,Windach,48.06667,11.03333,P,PPLA4,DE,3449
2808310,Wincheringen,49.60904,6.42597,P,PPLA4,DE,1499
2808315,Wimsheim,48.85,8.83333,P,PPLA4,DE,2705
2808359,Wimmelburg,51.52069,11.50696,P,PPLA4,DE,1410
2808390,Wimbach,50.36667,6.91667,P,PPLA4,DE,475
2808404,Wiltingen,49.65919,6.59255,P,PPLA4,DE,1349
2808406,Wilthen,51.09745,14.3929,P,PPL,DE,6304
2808408,Wilsum,52.53333,6.85,P,PPLA4,DE,1608
2808413,Wilster,53.92253,9.37465,P,PPL,DE,4443
2808417,Wilstedt,53.19493,9.09595,P,PPLA4,DE,1718
2808419,Wilsleben,51.79966,11.42558,P,PPL,DE,550
2808435,Wilsecker,50.01667,6.58333,P,PPLA4,DE,201
