geonameid,name,latitude,longitude,feature_code,country_code,population
2142426,Yarroweyah,-35.92407,145.55716,PPL,AU,531
2142447,Yarrawonga,-36.01923,145.99973,PPL,AU,7630
2142457,Yarraville,-37.81667,144.9,PPLX,AU,15636
2142492,Yarraman,-26.84167,151.98138,PPL,AU,1045
2142494,Yarram,-38.56479,146.67557,PPL,AU,2072
2142501,Yarra Junction,-37.78192,145.6143,PPLX,AU,2522
2142506,Yarragon,-38.20525,146.06079,PPL,AU,1621
2142507,Yarra Glen,-37.65794,145.37416,PPLX,AU,2852
2142595,Yandina,-26.56165,152.95595,PPLX,AU,2368
2142598,Yanderra,-34.31963,150.57532,PPL,AU,654
2142612,Yanco,-34.5985,146.40954,PPL,AU,965
2142648,Yamba,-29.4375,153.35914,PPL,AU,6913
2142707,Yackandandah,-36.31371,146.83958,PPL,AU,1763
2142724,Wy Yung,-37.8,147.58333,PPL,AU,1580
2142734,Wyreema,-27.65583,151.85532,PPL,AU,1778
2142742,Wyongah,-33.27468,151.48898,PPLX,AU,1998
2142743,Wyong,-33.28254,151.42327,PPLX,AU,4309
2142747,Wynyard,-40.9897,145.72617,PPL,AU,5820
2142750,Wynnum,-27.44527,153.15813,PPLX,AU,12650
2142777,Wyee,-33.18252,151.48804,PPLX,AU,2377
2142781,Wycheproof,-36.07765,143.22714,PPL,AU,624
2142813,Wyalong,-33.92568,147.24264,PPL,AU,648
2142822,Wuuluman,-32.55,149.08333,PPL,AU,770
2142825,Wurruk,-38.11667,147.03333,PPL,AU,1072
2142840,Wulkuraka,-27.61429,152.72191,PPLX,AU,1210
2142871,Woy Woy,-33.48433,151.32471,PPLX,AU,10668
